"a,t,p,p,m",match
"p,n,a,c,n",match
"caama,tarii,caama,mana,nyaata",spell
"mana,piippaa,mana,caama,nama",Sound
"e,e,p,p,l",match
"e,l,e,l,p",match
"s,p,l,f,f",matchSound
"e,p,s,f,e",match
"s,f,s,l,l",match
"l,f,s,s,e",matchSound
"p,f,f,s,f",matchfirst
"s,f,l,l,l",matchfirst
"n,t,n,a,p",matchSound
"f,s,l,f,f",matchfirst
"l,l,p,l,l",matchfirst
"leemmata,leemmata,leemmata,leemmata,seenaa",spell
"fedha,seenaa,peepsii,peepsii,seenaa",spell
"seenaa,seenaa,peepsii,leemmata,peepsii",Sound
"g,i,r,i,r",match
"g,b,b,r,g",match
"z,t,c,i,n",matchSound
"g,b,i,r,t",match
"g,n,n,g,c",match
"n,c,p,n,a",match
"b,i,i,c,g",matchSound
"n,n,b,c,r",matchfirst
"n,b,t,t,t",matchfirst
"n,n,c,b,c",matchfirst
"b,c,n,n,b",matchfirst
"riqicha,riqicha,riqicha,riqicha,riqicha",spell
"ciimmaa,tirsuu,qinxaaboo,niitii,qinxaaboo",spell
"qinxaaboo,tirsuu,qinxaaboo,biiroo,tirsuu",Sound
"n,w,x,t,w",match
"g,w,x,w,h",match
"n,p,n,t,c",match
"w,t,n,t,n",matchSound
"g,d,n,g,t",match
"d,t,d,o,n",match
"g,t,t,g,o",matchSound
"d,d,t,x,d",matchfirst
"t,t,x,h,t",matchfirst
"x,x,n,n,n",matchfirst
"t,d,h,h,n",matchfirst
"nooraa,qoonqoo,doonii,xoofoo,doonii",spell
"tooftaa,hoolaa,qoonqoo,tooftaa,dawoo",spell
"p,p,p,p,a",matchSound
"tooftaa,dawoo,dawoo,hoolaa,xoofoo",Sound
"x,b,u,n,t",match
"t,t,u,n,u",match
"n,b,u,t,b",matchSound
"t,x,u,t,x",match
"n,u,t,x,u",match
"t,n,t,n,n",matchSound
"b,x,t,t,x",matchfirst
"t,x,x,x,x",matchfirst
"b,t,t,b,x",matchfirst
"m,m,t,p,c",matchfirst
"t,t,b,t,b",matchfirst
"burree,turtii,burree,burree,xurii",spell
"xurii,turtii,burree,turtii,xurii",spell
"turtii,xurii,turtii,burree,xurii",Sound
"x,b,x,x,n",match
"b,n,n,t,n",match
"b,x,n,u,b",matchSound
"n,u,x,x,x",match
"x,u,x,b,u",match
"n,n,n,x,t",matchSound
"p,n,n,p,n",matchfirst
"t,t,t,t,x",matchfirst
"b,b,t,t,b",matchfirst
"b,x,b,x,b",matchfirst
"b,b,t,b,t",matchfirst
"burree,xurii,turtii,xurii,burree",spell
"xurii,xurii,turtii,xurii,xurii",spell
"xurii,xurii,xurii,burree,burree",Sound
"c,p,m,c,n",matchfirst
"mana,caama,caama,nyaata,piippaa",spell
