"s,l,s,s,s",match
"n,z,r,m,f",match
"gara,asa,aza,ala,hafa",spell
"gana,asa,saka,gara,daba",Sound
"f,b,v,e,r",match
"n,b,b,v,f",match
"e,e,f,e,b",matchSound
"r,v,e,b,f",match
"b,n,n,v,f",match
"n,h,k,k,v",matchSound
"h,b,e,e,b",matchfirst
"h,b,k,e,e",matchfirst
"v,m,f,d,l",matchSound
"e,h,e,b,k",matchfirst
"k,k,e,b,k",matchfirst
"kere,hendre,kere,kere,bebe",spell
"kere,bebe,endre,hendre,bebe",spell
"kere,bebe,kere,bebe,bebe",Sound
"v,v,r,n,d",match
"k,z,d,t,z",match
"i,d,d,d,t",matchSound
"d,v,i,v,r",match
"r,v,k,t,t",match
"h,r,z,f,k",match
"r,s,k,s,n",matchSound
"v,k,k,i,i",matchfirst
"i,i,i,k,s",matchfirst
"s,k,s,v,v",matchfirst
"v,s,s,k,i",matchfirst
"izy,ity,ity,izy,ity",spell
"izy,vidy,kiry,ivy,siny",spell
"siny,kiry,ity,vidy,vidy",Sound
"r,o,n,t,s",match
"g,n,v,r,r",match
"n,n,a,g,r",match
"v,l,f,t,v",matchSound
"f,s,n,n,n",match
"h,g,v,o,s",match
"z,t,h,h,v",matchSound
"k,s,z,g,z",matchfirst
"s,z,g,h,g",matchfirst
"z,g,h,g,z",matchfirst
"g,z,k,v,v",matchfirst
"kolo,hono,hono,hoho,gogo",spell
"volo,kolo,kolo,zoto,hono",spell
"r,z,f,v,v",matchSound
"solo,gogo,zoto,solo,volo",Sound
"n,y,y,f,s",match
"v,n,y,v,v",match
"v,r,f,s,n",matchSound
"y,s,n,n,r",match
"s,f,n,v,s",match
"v,r,r,r,v",matchSound
"s,s,v,v,v",matchfirst
"v,s,v,s,v",matchfirst
"s,v,s,v,v",matchfirst
"h,s,s,a,h",matchfirst
"s,v,v,v,v",matchfirst
"ity,ity,vidy,ivy,izy",spell
"ivy,ivy,kiry,ity,izy",spell
"ivy,izy,izy,izy,izy",Sound
"s,a,n,g,l",match
"a,k,g,b,b",match
"b,l,f,k,h",matchSound
"v,m,d,l,s",match
"z,s,n,v,d",match
"n,k,s,d,g",matchSound
"h,s,d,s,h",matchfirst
"g,a,g,g,h",matchfirst
"l,l,d,h,d",matchfirst
"d,h,s,a,l",matchfirst
"a,l,a,d,d",matchfirst
"aza,lava,gana,haba,aza",spell
"haba,ala,haba,aza,ala",spell
"laza,asa,gana,laza,hafa",Sound
"l,s,a,d,g",matchfirst
"aza,daba,ala,gara,ala",spell
