"t,g,b,b,k",match
"t,a,d,d,k",match
"dama,kata,aba,baba,dama",spell
"ada,kata,kata,dama,dama",Sound
"r,e,s,b,n",match
"w,w,s,m,e",match
"e,n,p,m,b",matchSound
"b,t,n,e,p",match
"m,m,b,n,e",match
"t,n,w,b,p",matchSound
"s,n,t,n,n",matchfirst
"t,b,p,p,t",matchfirst
"a,a,b,a,k",matchSound
"s,p,n,s,b",matchfirst
"t,t,n,p,s",matchfirst
"tara,tana,gara,dara,dara",spell
"tana,pese,sewe,daka,pese",spell
"sewe,bere,pese,dara,tana",Sound
"g,z,z,b,t",match
"b,d,i,z,z",match
"k,b,b,g,r",matchSound
"z,t,k,b,b",match
"g,k,r,f,d",match
"m,m,g,r,t",match
"r,i,i,j,j",matchSound
"g,g,z,g,z",matchfirst
"z,j,d,d,b",matchfirst
"b,g,z,b,z",matchfirst
"g,g,g,b,g",matchfirst
"zizi,bata,dana,zizi,biti",spell
"jiri,bata,gidi,jiri,gidi",spell
"diki,gidi,gidi,diki,dana",Sound
"d,n,ty,r,o",match
"ty,dz,r,f,f",match
"m,b,g,n,d",match
"dz,r,f,n,f",matchSound
"o,r,dz,ty,n",match
"ty,f,dz,ty,f",match
"n,n,o,r,dz",matchSound
"ty,dz,dz,dz,ty",matchfirst
"dz,dz,dz,ty,d",matchfirst
"d,dz,d,d,d",matchfirst
"d,dz,dz,d,d",matchfirst
"doro,tese,tese,doro,dzoro",spell
"tyora,mese,dofo,doro,ese",spell
"d,b,m,r,t",matchSound
"dofo,dofo,dzoro,dzoro,tyora",Sound
"ty,ty,d,d,d",match
"n,d,d,n,ty",match
"r,n,d,n,n",matchSound
"r,f,n,ty,d",match
"o,d,d,o,o",match
"o,o,f,t,d",matchSound
"d,t,d,d,d",matchfirst
"dz,d,d,ty,dz",matchfirst
"dz,ty,dz,d,dz",matchfirst
"a,d,b,b,b",matchfirst
"ty,dz,dz,dz,dz",matchfirst
"tese,mese,tyora,dzoro,dofo",spell
"tyora,mese,mese,dofo,dofo",spell
"doro,dofo,doro,dzoro,tyora",Sound
"o,d,o,f,ty",match
"f,f,ty,n,r",match
"f,dz,d,o,r",matchSound
"ty,r,ty,dz,f",match
"r,f,d,n,f",match
"n,dz,o,ty,ty",matchSound
"b,k,d,a,a",matchfirst
"d,dz,d,d,dz",matchfirst
"ty,ty,dz,ty,dz",matchfirst
"ty,d,dz,ty,ty",matchfirst
"ty,d,dz,dz,dz",matchfirst
"dofo,ese,dzoro,tyora,tese",spell
"tyora,dofo,dzoro,tese,doro",spell
"tese,doro,mese,mese,ese",Sound
"b,b,k,k,a",matchfirst
"dama,aba,aba,dama,baba",spell
